archivo,title,description,summary,activity_code
"semana-sin-plastico.md","Semana sin plástico","Comprométete a pasar una semana completa sin usar plásticos de un solo uso con un grupo de amigos.","Una semana sin plásticos de un solo uso.","plastics-C06"
"hogar-dulce-hogar.md","Hogar Dulce Hogar","Investiga las adaptaciones de especies de agua dulce y salada, y compáralas.","Adaptaciones al agua dulce y salada.","agua-A22"
"tres-formas-del-agua.md","Las tres formas del agua","Los participantes realizan un experimento para observar el agua en sus tres estados: sólido, líquido y gaseoso.","Experimenta con los tres estados del agua.","agua-A37"
"preguntas-respuestas.md","Preguntas & Respuestas","Simula una entrevista entre un agricultor y un reportero sobre el suelo.","Simulación de entrevista sobre el suelo.","suelos-C09"
"nudo-humano.md","Nudo Humano","Los participantes forman un círculo, se toman de las manos cruzadamente y deben desenredarse sin soltarse, reflexionando sobre la importancia del trabajo en equipo.","Desenrédate sin soltar las manos.","mundomejor-E10"
"ahorrando-energia.md","Ahorrando energía en casa","Haz una lista de cómo se usa la energía en tu hogar y aplica consejos para ahorrar energía.","Reduce el consumo energético en tu hogar.","energia-E07"
"contaminacion-fuente-no-puntual.md","Contaminación de Fuente No Puntual","Los participantes simulan cómo un desagüe pluvial recolecta contaminantes durante una tormenta y cómo esto impacta la calidad del agua en cuerpos de agua locales.","Simula la contaminación de un desagüe pluvial.","agua-C41"
"recolectando-datos.md","Recolectando Datos","Investiga de dónde vienen tus alimentos y qué tipo de suelo necesitan.","Investigación de alimentos y suelo.","suelos-B13"
"hazles-saber.md","¡Hazles Saber!","Comparte tus ideas sobre cómo reconstruir mejor tu casa, escuela o ciudad después de un desastre.","Compartiendo ideas para reconstruir mejor.","rrd-C04"
"carrera-obstaculos-agua.md","Carrera de Obstáculos del Agua","Los participantes experimentan cómo las personas que no tienen acceso al agua deben esforzarse para obtener este recurso, a través de una carrera de obstáculos que simula la recolección de agua.","Carrera de obstáculos para entender la escasez de agua.","agua-C34"
"personas-indigenas-y-biodiversidad.md","Personas indígenas y biodiversidad","Investigación de cómo las personas indígenas utilizan la biodiversidad para su supervivencia y en sus culturas.","Investigar pueblos indígenas y biodiversidad.","biodiversidad-D07"
"analisis-de-suelos.md","Análisis de Suelos","Investiga los diferentes tipos de suelo del mundo y sus características.","Investigación de tipos de suelo globales.","suelos-A02"
"bosques-llenos-de-vida.md","Bosques Llenos de Vida","Prepara un reporte de investigación sobre un bosque de tu área. Presenta tus hallazgos creativamente.","Investigación y presentación creativa sobre un bosque local.","bosques-B01"
"encuentra-tu-camino.md","Encuentra tu Camino","Participa en un evento de orientación forestal usando un mapa para navegar por el bosque.","Evento de orientación y navegación en el bosque.","bosques-C13"
"corrientes-oceanicas.md","Corrientes Oceánicas","Investiga cómo funcionan las corrientes oceánicas y su importancia para el clima y la vida marina.","Investigación sobre corrientes oceánicas.","oceano-A13"
"hora-del-concurso.md","Hora del Concurso","Organiza un concurso sobre nutrición en tu colegio con diferentes categorías y premios saludables.","Concurso educativo sobre nutrición.","nutricion-B10"
"lupa.md","Lupa","Observa la vida microscópica en un arroyo o estanque.","Observación microscópica de agua.","agua-A13"
"rockea-el-bosque.md","'Rockea' el Bosque","Invita a un geólogo para hablar sobre las rocas del bosque. Crea una exhibición de rocas como substrato.","Investigación sobre rocas y su rol en el bosque.","bosques-A15"
"bioblitz.md","BioBlitz","Inventario intensivo de especies en el patio trasero o área local para compartir en línea.","Realizar un inventario de especies local.","biodiversidad-D24"
"escala-de-ph.md","La escala de pH","Los participantes aprenden sobre la escala de pH y cómo la acidez del agua puede afectar a los seres vivos y al medio ambiente.","Descubre cómo medir la acidez del agua.","agua-A45"
"construye-una-abonera.md","Construye una abonera","Construye una abonera para transformar desechos biodegradables en abono.","Construcción de abonera casera.","sacc-B11"
"variedades-raras-de-cultivos.md","Variedades raras de cultivos","Identificación y conservación de variedades raras de cultivos en la comunidad.","Identificar variedades raras de cultivos.","biodiversidad-C18"
"observa-los-anuncios.md","Observa los anuncios","Análisis crítico de anuncios publicitarios para identificar influencias en el consumo y desarrollar pensamiento crítico.","Analizar anuncios publicitarios críticamente.","cambioclimatico-E07"
"compromiso-por-el-agua.md","Compromiso por el Agua","Convence a amigos y familia a comprometerse a ahorrar agua y haz un seguimiento.","Certificados de compromiso para ahorrar agua.","agua-E03"
"productos-de-las-abejas.md","Productos de las abejas","Investigación de los productos que las abejas proporcionan y su importancia para los productores locales.","Investigar productos derivados de las abejas.","polinizadores-B08"
"haz-una-caminata.md","Haz una Caminata","Haz una caminata en el bosque y recolecta elementos que representen partes importantes del bosque. Crea un collage con tus hallazgos.","Caminata y collage de elementos del bosque.","bosques-A01"
"colectando-agua.md","Colectando agua","Construye un colector solar de agua para recolectar agua de la vegetación a través de la condensación, aprendiendo sobre el ciclo del agua.","Recoge agua del suelo usando energía solar.","gosolar-C01"
"vulnerables-al-cambio-climatico.md","Vulnerables al cambio climático","Investiga quiénes son especialmente vulnerables al cambio climático.","Investigación de grupos vulnerables.","sacc-B13"
"invasoras.md","¡Invasoras!","Investiga qué tipo de especies invasoras viven actualmente en los bosques de tu área. Comparte tus hallazgos con tu grupo.","Investigación sobre especies invasoras locales.","bosques-D04"
"modelo-submarino.md","Modelo Submarino","Construye un modelo del profundo lecho marino con sus características geológicas.","Modelo del lecho marino.","oceano-B05"
"collage-de-biodiversidad.md","Collage de biodiversidad","Actividad obligatoria para crear un collage sobre los tres componentes de la biodiversidad: genes, especies y ecosistemas.","Crear un collage sobre biodiversidad.","biodiversidad-D01"
"energia-y-gravedad.md","Energía y gravedad","Demostración de energía potencial y cinética usando un carrito de juguete y una rampa para ver cómo la gravedad convierte una en otra.","Descubre la energía potencial y cinética con un carrito.","energia-C04"
"anuncios-del-agua.md","Anuncios del Agua","Los participantes crean anuncios publicitarios en video o audio sobre el agua y el saneamiento para concienciar sobre la importancia de tomar decisiones saludables.","Crea un anuncio publicitario sobre el agua.","agua-E46"
"promoviendo-la-diversidad.md","Promoviendo la diversidad","Investigación sobre la diversidad étnica en tu ciudad y propuesta de actividades para promover la integración social.","Promover la integración y diversidad en la ciudad.","ciudadesverdes-C10"
"el-derecho-a-la-alimentacion.md","El Derecho a la Alimentación","Investiga sobre el derecho a la alimentación y los derechos humanos. Invita a un experto para que hable con tu grupo.","Investigación sobre el derecho a la alimentación.","hambre-B02"
"cocina-saludable-y-sostenible.md","Cocina saludable y sostenible","Aprende a cocinar una comida sana y amigable con el medio ambiente.","Cocina sostenible.","sacc-B06"
"contacta-a-los-tomadores-de-decisiones-cambioclimatico.md","Contacta a los tomadores de decisiones sobre el cambio climatico","Contactar a funcionarios gubernamentales para expresar preocupación sobre el cambio climático y proponer soluciones.","Contactar a funcionarios sobre el clima.","cambioclimatico-E20"
"alimentos-alrededor-del-mundo.md","Alimentos alrededor del mundo","Investigación de un alimento consumido en varios países y preparación de recetas de diferentes culturas.","Investigar y cocinar alimentos internacionales.","biodiversidad-C08"
"discusiones-saludables.md","Discusiones saludables","Investigación y panel de discusión sobre cómo el cambio climático aumenta la propagación de enfermedades como la malaria y el dengue.","Panel sobre clima y enfermedades.","cambioclimatico-C16"
"red-de-vida.md","Red de vida","Los participantes exploran las conexiones entre plantas y animales en un ecosistema usando una bola de cuerda, visualizando cómo todos están interconectados.","Descubre las conexiones en la naturaleza.","cfn-B05"
"financia-tu-favorito.md","Financia tu favorito","Investiga proyectos de acceso a energía en el mundo, elige uno y organiza una recaudación de fondos para apoyarlo.","Recauda fondos para un proyecto energético.","energia-E13"
"de-donde-viene-tu-agua-agua.md","¿De Dónde Viene Tu Agua?","Los participantes aprenden que el agua proviene de diferentes fuentes y siguen un laberinto para descubrir el camino desde su hogar hasta las fuentes de agua.","Sigue el camino del agua hasta su fuente.","agua-A54"
"arbol-de-deseos.md","Árbol de Deseos","Recolecta materiales del bosque, escribe deseos sobre ellos y crea un árbol de deseos. Envía fotos a yunga@fao.org.","Creación de un árbol de deseos con materiales forestales.","bosques-C05"
"energia-en-el-pasado.md","Energía en el pasado","Entrevista a un abuelo o persona mayor sobre cómo usaban la energía en el pasado: ¿qué tecnologías usaban? ¿cómo se calentaban y cocinaban?","Descubre cómo se usaba la energía antes.","energia-C07"
"verso-acuatico.md","Verso Acuático","Escribe un poema humorístico sobre el uso del agua.","Poesía sobre el agua.","agua-A09"
"adivina-el-ods.md","Adivina el ODS","Crea una obra de teatro sobre un Objetivo de Desarrollo Sostenible sin nombrarlo. El resto del grupo debe adivinar de qué objetivo se trata.","Representa un ODS sin decir su nombre.","energia-D02"
"bateria-de-papa.md","Batería de papa","Construye una batería casera usando una papa, un clavo, una moneda y cables para aprender cómo funciona la electricidad.","Crea electricidad con una papa.","energia-C16"
"la-vida-en-el-pasado.md","La vida en el pasado","Entrevista a una persona mayor para conocer cómo era la vida antes de la urbanización y cómo cambió su ciudad.","Entrevistar a alguien sobre la vida pasada en la ciudad.","ciudadesverdes-A08"
"collage-contaminacion-agua.md","Collage de Contaminación del Agua","Los participantes identifican fuentes de contaminación del agua y crean un collage para representar cómo diferentes actividades humanas afectan los cuerpos de agua.","Crea un collage sobre la contaminación del agua.","agua-C31"
"aliados-terrestres.md","Aliados Terrestres","Investiga un aliado del suelo y su importancia para la salud del suelo.","Investigación de aliados del suelo.","suelos-C06"
"entrevista-a-un-cientifico.md","Entrevista a un científico","Realización de una entrevista a un científico sobre biodiversidad para compartir con el grupo.","Entrevistar a un científico sobre biodiversidad.","biodiversidad-D10"
"reloj-de-sol.md","Reloj de Sol","Construye tu propio reloj de Sol utilizando una plantilla y aprende cómo la posición del Sol cambia durante el día y en diferentes lugares del mundo.","Construye un reloj que marca la hora con el Sol.","gosolar-A03"
"aprender-jugando.md","Aprender Jugando","Investiga diferentes tipos de juegos tradicionales de culturas basadas en los bosques. Juega tres de estos juegos y descubre su enseñanza.","Investigación y práctica de juegos tradicionales forestales.","bosques-C03"
"no-desperdiciar-no-querer.md","No desperdiciar, no querer","Observa y reduce el desperdicio de alimentos en tu hogar, y aprende cómo la energía se desperdicia junto con la comida.","Reduce el desperdicio de alimentos y energía.","energia-E09"
"carne-de-animales-silvestres.md","Carne de Animales Silvestres","Encuentra tres países donde las personas coman carne de animales silvestres. Investiga el impacto de la caza en los bosques y comparte tus hallazgos.","Investigación sobre la caza de carne de animales silvestres.","bosques-D08"
"la-ciencia-del-agua.md","La Ciencia del Agua","Investiga las propiedades científicas de la molécula de agua.","Propiedades científicas del agua.","agua-A21"
"alimentos-locales.md","Alimentos locales","Investigación sobre los cultivos de tu país, cómo el clima los afecta y de dónde provienen los alimentos que consumes.","Investigar cultivos locales y su relación con el clima.","cambioclimatico-A10"
"energia-renovable.md","Energía renovable","Averigua sobre energía renovable y construye un modelo de demostración.","Modelo de energía renovable.","sacc-C03"
"limpieza-de-playa.md","Limpieza de playa","Organización o participación en una limpieza de playa para proteger la biodiversidad costera.","Participar en una limpieza de playa.","biodiversidad-B06"
"que-gas.md","¡Qué gas!","Juego de cartas para aprender sobre los gases de efecto invernadero y sus propiedades.","Juego para aprender sobre gases de efecto invernadero.","cambioclimatico-B08"
"organizador-comunitario-biodiversidad.md","Organizador comunitario - biodiversidad","Organización de un evento comunitario para crear conciencia sobre la biodiversidad y contactar medios de comunicación.","Organizar un evento comunitario sobre biodiversidad.","biodiversidad-D34"
"el-tiempo-y-la-marea.md","El Tiempo y la Marea","Aprende cómo la gravedad de la Luna y el Sol afectan las mareas con una simulación práctica.","Simulación de las mareas.","oceano-A14"
"lunes-sin-emisiones.md","Lunes sin emisiones","Iniciativa familiar para evitar el uso del auto un día a la semana y reducir la huella de carbono.","Crear la tradición de lunes sin auto.","ciudadesverdes-D06"
"negociacion-por-el-clima.md","Negociación por el clima","Simulación de negociaciones climáticas donde cada participante representa a un país con diferentes intereses.","Simular negociaciones climáticas de la ONU.","cambioclimatico-D16"
"lentes-solares.md","Lentes solares","Construye tus propios lentes de Sol para proteger tus ojos de los rayos ultravioleta mientras realizas actividades solares.","Protege tus ojos del Sol.","gosolar-B01"
"refugiados-por-el-clima.md","Refugiados por el clima","Investigación sobre las personas desplazadas por el cambio climático y creación de un documental sobre el tema.","Crear un documental sobre refugiados climáticos.","cambioclimatico-C15"
"invierte-en-soluciones.md","Invierte en soluciones","Investigación de iniciativas climáticas y organización de una recaudación de fondos para apoyar una solución al cambio climático.","Recaudar fondos para soluciones climáticas.","cambioclimatico-E22"
"carboschools.md","Carboschools","Investiga si tu escuela puede unirse a la red de Carboschools.","Red Carboschools.","sacc-C31"
"inventen-un-juego.md","Inventen un Juego","Crea un juego educativo sobre nutrientes y grupos alimenticios para compartir con tu familia y amigos.","Creación de juego educativo sobre nutrición.","nutricion-B05"
"minimo-impacto-naturaleza.md","Mínimo impacto a la naturaleza","Los participantes exploran lo que sucederá a nivel local y global si seguimos talando la selva tropical al mismo ritmo actual.","Entiende el impacto de la deforestación.","cfn-B04"
"agua-alrededor-del-mundo.md","Agua Alrededor del Mundo","Entrevista a amigos de otros países o representa un país para aprender sobre hábitos de agua globales.","Investigación sobre hábitos de agua en otros países.","agua-D01"
"papeles-para-borrador.md","Papeles para borrador","Reúne papeles para usarlos como borrador.","Reuso de papel.","sacc-A21"
"macetas-de-botellas.md","Macetas de botellas","Los jóvenes transforman botellas de plástico en macetas colgantes para plantas, aprendiendo sobre la reutilización de residuos plásticos y la importancia de reducir el consumo de plásticos de un solo uso.","Transforma botellas de plástico en macetas colgantes.","plastics-P12"
"exploracion-acuatica.md","Exploración Acuática","Investiga tu cuenca hidrográfica local y crea una exhibición informativa.","Investigación de la cuenca hidrográfica local.","agua-A20"
"soluciones-globales.md","Soluciones Globales","Experimenta con la desalinización y aprende cómo diferentes países abordan la escasez de agua.","Experimento de desalinización y soluciones globales.","agua-D08"
"necesidades-y-deseos-plastico.md","Necesidades y deseos","Los jóvenes analizan sus patrones de consumo de plásticos y aprenden a diferenciar entre productos necesarios y aquellos que se pueden evitar, promoviendo un consumo más sostenible.","Aprende a diferenciar entre lo que necesitas y lo que deseas.","plastics-P10"
"limpiando-el-entorno.md","Limpiando el entorno","Selecciona un área con problema de basura en tu comunidad y manténla limpia durante un mes.","Limpia y mantén un espacio de tu comunidad.","plastics-B03"
"escribe-cartas.md","Escribe Cartas","Escribe cartas a líderes gubernamentales para presionar sobre temas de nutrición y hambre.","Cartas a líderes sobre nutrición.","nutricion-E12"
"farmacia-forestal.md","Farmacia Forestal","Aprende sobre dos plantas medicinales y dos plantas venenosas del bosque. Comparte tus hallazgos.","Investigación sobre plantas medicinales y venenosas del bosque.","bosques-A11"
"hurga-en-la-tierra.md","Hurga en la Tierra","Experimenta con la erosión del suelo al agregar agua sobre diferentes tipos de suelo.","Experimento sobre erosión del suelo.","agua-A10"
"pesca-los-hechos.md","Pesca los hechos","Investigación sobre especies de pescado sostenibles y en peligro para tomar decisiones de consumo responsables.","Investigar pescado sostenible y en peligro.","cambioclimatico-C12"
"hablando-sobre-cambio-climatico.md","Hablando sobre el cambio climático","Investiga el ciclo del carbono y el cambio climático, y debate sobre sus causas, impactos y soluciones con tu grupo.","Debate sobre el cambio climático y el carbono.","energia-A14"
"cine-del-agua.md","Cine del Agua","Los participantes organizan una proyección de cine para recaudar fondos para un proyecto relacionado con el agua, aprendiendo sobre la importancia de la acción colectiva y la solidaridad.","Organiza un cine para recaudar fondos.","agua-E39"
"acuifero-comestible.md","Acuífero Comestible","Los participantes construyen un acuífero comestible para aprender sobre las formaciones geológicas, cómo la contaminación llega al agua subterránea y cómo el bombeo afecta el nivel freático.","Construye y come un acuífero.","agua-A49"
"biodiversidad-en-otros-paises.md","Biodiversidad en otros países","Investigación de la biodiversidad y ecosistemas de tres países diferentes y sus amenazas.","Investigar biodiversidad en otros países.","biodiversidad-D05"
"los-favoritos-del-mar.md","Los Favoritos del Mar","Prepara una presentación sobre tu animal o criatura marina favorita.","Presentación sobre un animal marino.","oceano-B11"
"platformas-en-linea.md","Plataformas en línea","Visita y participación en plataformas en línea donde jóvenes comparten acciones sobre biodiversidad.","Unirse a plataformas en línea sobre biodiversidad.","biodiversidad-D26"
"donde-esta-el-agua-bosques.md","¿Dónde está el Agua? - Bosques","Investiga en qué lugar es posible encontrar agua en un bosque. Dibuja un mapa o crea un modelo de los sitios con agua.","Investigación de fuentes de agua en el bosque.","bosques-A16"
"resena-de-libro-polinizadores.md","Reseña de libro","Lectura y análisis de un libro sobre polinizadores para compartir aprendizajes con el grupo.","Leer y reseñar un libro sobre polinizadores.","polinizadores-B06"
"colecta-puerta-a-puerta.md","Colecta puerta a puerta","Organiza una colecta de ropa, libros y juguetes para donar.","Colecta de donaciones.","sacc-C28"
"juego-de-preguntas-agua.md","Juego de preguntas sobre el agua","Los participantes aprenden datos interesantes sobre el agua a través de un juego de emparejamiento de preguntas y respuestas.","Aprende datos curiosos sobre el agua jugando.","agua-A36"
"es-util-reutilizar.md","Es útil reutilizar","Actividad obligatoria para transformar objetos inservibles en cosas útiles mediante la creatividad y el reciclaje.","Transformar objetos en desuso en cosas útiles.","cambioclimatico-D01"
"soluciones-que-empoderan.md","Soluciones que Empoderan","Haz una lluvia de ideas sobre cómo empoderar a las personas para salir de la trampa del hambre y lograr autosuficiencia.","Lluvia de ideas sobre soluciones para el hambre.","hambre-D02"
"auditoria-de-desperdicios.md","Auditoría de desperdicios","Realización de una auditoría de desperdicios en el hogar o escuela para reducir la cantidad de desechos.","Auditar y reducir desperdicios.","biodiversidad-D29"
"echando-raices.md","Echando Raíces","Planta y cuida plantas para descubrir la importancia de un suelo saludable.","Plantación y cuidado de plantas.","suelos-A07"
"aprender-haciendo-bolsa-camiseta.md","Aprender haciendo - Bolsa reutilizable con camiseta","Los jóvenes transforman una camiseta vieja en una bolsa de compras reutilizable, aprendiendo sobre la reutilización de materiales y reduciendo el uso de bolsas plásticas de un solo uso.","Crea una bolsa reutilizable con una camiseta vieja.","plastics-P08"
"concurso-de-pruebas.md","Concurso de Pruebas","Prepara un concurso de preguntas sobre el suelo y sus amenazas.","Concurso sobre el suelo.","suelos-A06"
"dieta-energetica.md","Dieta energética","Desafío de dos semanas para reducir el consumo de energía en el hogar, transporte y escuela, midiendo los ahorros logrados.","Reducir el consumo de energía durante dos semanas.","biodiversidad-A15"
"superheroes-rrd.md","Superhéroes","Crea una historieta sobre un superhéroe que ayuda a las personas después de un desastre.","Historieta sobre un superhéroe de rescate.","rrd-C03"
"plantas-de-agua-y-tierra.md","Plantas de agua y tierra","Comparación de plantas terrestres y acuáticas mediante dibujo y observación de sus diferentes partes.","Comparar plantas terrestres y acuáticas.","biodiversidad-B03"
"haz-un-modelo-de-un-volcan.md","Haz un Modelo de un Volcán","Construye un modelo de volcán casero y aprende datos interesantes sobre volcanes.","Modelo de volcán casero.","rrd-A05"
"tala-de-arboles.md","Tala de Árboles","Invita a alguien que trabaje en la industria de la tala de árboles para que hable en tu reunión. Aprende sobre prácticas sostenibles y cómo los consumidores pueden apoyarlas.","Investigación sobre tala sostenible y consumo responsable.","bosques-D03"
"superheroe-del-agua.md","Superhéroe del Agua","Los participantes organizan un concurso de dibujo para crear un superhéroe del agua, con poderes especiales para mejorar la calidad y disponibilidad del agua.","Crea un superhéroe del agua.","agua-E33"
"profundicen-en-las-diferencias.md","Profundicen en las Diferencias","Investiga los problemas de salud causados por deficiencias de vitaminas y minerales en diferentes regiones.","Investigación sobre deficiencias nutricionales.","nutricion-B19"
"haciendo-garabatos.md","Haciendo garabatos","Actividad creativa para imaginar y dibujar cómo adaptarse y prepararse para los impactos del cambio climático en tu comunidad.","Dibujar ideas de adaptación al cambio climático.","cambioclimatico-D03"
"amenazas-y-desastres-cerca-de-casa.md","Amenazas y Desastres Cerca de Casa","Investiga qué amenazas ocurren en tu área y prepara un afiche con línea de tiempo e información.","Investigación de amenazas locales.","rrd-A02"
"cartel-contaminacion-marina.md","Confeccionar un cartel sobre contaminación marina","Los jóvenes investigan la contaminación por plásticos en los océanos y diseñan carteles para concienciar sobre este problema, desarrollando su creatividad y habilidades de comunicación ambiental.","Crea un cartel para concienciar sobre la contaminación marina.","plastics-P21"
"vigilancia-en-casa.md","Vigilancia en Casa","Monitorea las actividades de tu hogar que afectan al suelo y crea una lista de control.","Monitoreo de impacto ambiental en el hogar.","suelos-D06"
"observacion-del-medidor-de-electricidad.md","Observación del medidor de electricidad","Observa el medidor de electricidad y reduce tu consumo.","Monitoreo de consumo eléctrico.","sacc-A08"
"visita-a-un-centro-de-reciclaje.md","Visita a un centro de reciclaje","Visita un centro de reciclaje o una planta de energía renovable.","Visita a centro de reciclaje o energía renovable.","sacc-C04"
"un-dolar-al-dia.md","Un Dólar al Día","Averigua cuánto es 1 USD en tu moneda y crea una lista de compras para un día con ese presupuesto.","Experiencia sobre vivir con 1 dólar al día.","hambre-A06"
"casa-para-murcielagos.md","Casa para murciélagos","Construcción de una casa para murciélagos para proporcionar refugio y observar su comportamiento.","Construir una casa para murciélagos.","biodiversidad-A12"
"lavar-ropa-de-manera-eficiente.md","Lavar ropa de manera eficiente","Llena la lavadora y cuelga la ropa para secarla.","Eficiencia en el lavado de ropa.","sacc-A17"
"a-todos-nos-gusta-el-agua.md","A todos nos gusta el agua","Visita un ecosistema natural y observa cómo las diferentes especies usan el agua.","Observación del uso del agua en la naturaleza.","agua-A01"
"extrayendo-la-sal.md","Extrayendo la Sal","Extrae sal del agua marina por evaporación y aprende sobre la importancia de la sal.","Extracción de sal por evaporación.","oceano-A06"
"sin-plastico-es-fantastico.md","Sin plástico es fantástico","Organiza un evento comunitario para crear conciencia sobre la contaminación plástica y proporcionar soluciones prácticas.","Organiza un evento para mostrar que vivir sin plástico es posible.","plastics-C08"
"agricultores-del-bosque.md","Agricultores del Bosque","Aprende sobre un grupo que cultive en los bosques. Comparte tus hallazgos de forma creativa.","Investigación sobre pueblos que cultivan en los bosques.","bosques-C16"
"diario-de-alimentos-biodiversidad.md","Diario de alimentos","Registro de alimentos consumidos durante una semana para identificar la biodiversidad en la dieta.","Registrar alimentos para identificar biodiversidad.","biodiversidad-C06"
"desarmando-canciones-y-danzas.md","Desarmando canciones y danzas","Los participantes identifican mensajes machistas o discriminatorios en canciones y danzas scouts, y las transforman en versiones con mensajes positivos e inclusivos.","Transforma canciones con mensajes positivos.","mundomejor-E08"
"que-esta-en-riesgo.md","¿Qué está en riesgo?","Los participantes experimentan los efectos del impacto de las especies invasoras en un ecosistema a través de un juego de Piedra-Papel-Tijera adaptado.","Descubre el impacto de las especies invasoras.","cfn-B01"
"mimica-de-agua.md","Mímica de Agua","Juego de mímica con palabras relacionadas con el agua.","Juego de mímica sobre el agua.","agua-A04"
"agua-desarrollo-derechos-humanos.md","Agua, Desarrollo y Derechos Humanos","Los participantes exploran las conexiones entre el agua, el desarrollo y los derechos humanos a través de una actividad de telaraña que visualiza la interdependencia de estos temas.","Explora la interdependencia del agua y los derechos humanos.","agua-D48"
"conviertete-en-un-disenador-grafico.md","Conviértete en un Diseñador Gráfico","Diseña una representación gráfica de una dieta equilibrada (pirámide, plato, arcoíris, etc.).","Diseño gráfico de dieta equilibrada.","nutricion-E05"
"sobre-embalaje.md","Sobre-embalaje","Identifica productos con envolturas innecesarias en tu cocina.","Reducción de embalajes innecesarios.","sacc-B07"
"cancion-por-el-suelo.md","Canción por el Suelo","Inventa una canción sobre el suelo y los factores que lo dañan.","Canción sobre la protección del suelo.","suelos-C03"
"descubre-el-agua-subterranea.md","Descubre el agua subterránea","Los participantes construyen modelos para entender cómo el agua se mueve a través del suelo y cómo se forma el agua subterránea.","Construye un modelo de agua subterránea.","agua-A48"
"puntos-de-encuentro-de-la-ciudad.md","Puntos de encuentro de la ciudad","Identificación y propuesta de espacios públicos que fomenten el sentido de comunidad y la convivencia en la ciudad.","Identificar espacios comunitarios en la ciudad.","ciudadesverdes-A07"
"dibuja-la-ciudad-sonada.md","Dibujá la ciudad soñada","Ilustración de una mejora verde para tu ciudad, proponiendo soluciones innovadoras y sostenibles.","Dibujar una mejora verde para tu ciudad.","ciudadesverdes-A05"
"visita-a-granjas.md","Visita a granjas","Visita a diferentes tipos de granjas para aprender sobre técnicas de cultivo y cómo la biodiversidad ayuda a enfrentar desafíos.","Visitar granjas para aprender sobre biodiversidad agrícola.","biodiversidad-C16"
"activismo.md","Activismo","Firma la petición para acabar con el hambre y difunde el mensaje a través de redes sociales.","Activismo en redes contra el hambre.","hambre-E07"
"auditoria-de-plastico-en-casa.md","Auditoría de plástico en casa","Haz un inventario detallado de los plásticos de un solo uso que usas en tu vida diaria durante una semana y aprende a reducirlos.","Registra y analiza tu consumo de plásticos de un solo uso.","plastics-A02"
"el-genero-y-el-hambre.md","El Género y el Hambre","Investiga en qué países la desigualdad de género es significativa y cómo se relaciona con el hambre. Crea escenas para presentar.","Investigación sobre género y hambre.","hambre-A10"
"conoce-a-los-expertos.md","Conoce a los Expertos","Visita a un equipo de respuesta a emergencias y entrevista a sus miembros sobre su trabajo.","Entrevista a expertos en emergencias.","rrd-C01"
"tu-codigo-del-agua.md","Tu Código del Agua","Los participantes crean su propio código personal de conducta para el uso responsable del agua, comprometiéndose con acciones concretas para conservar y proteger este recurso.","Crea tu código personal para cuidar el agua.","agua-E31"
"exploracion-oceanica.md","Exploración Oceánica","Investiga la expedición del HMS Challenger y escribe cartas desde la perspectiva de un miembro de la tripulación.","Investigación sobre la expedición HMS Challenger.","oceano-C04"
"grupos-vulnerables.md","Grupos Vulnerables","Investiga un grupo vulnerable ante desastres y presenta tus hallazgos.","Investigación sobre grupos vulnerables en desastres.","rrd-A09"
"cambio-climatico-y-hambre.md","Cambio climático y hambre","Investiga cómo el cambio climático afecta el hambre y la nutrición.","Impacto del cambio climático en el hambre.","sacc-B14"
"basurero-vacio.md","Basurero vacío","Reduce, reusa y recicla todo lo que puedas para vaciar el basurero.","Desafío de basurero vacío.","sacc-A30"
"dale-una-oportunidad-a-las-abejas.md","Dale una oportunidad a las abejas","Transformación de tu jardín escolar o del hogar en un espacio amigable para los polinizadores.","Crear un jardín amigable para polinizadores.","polinizadores-D02"
"aventuras-linguisticas.md","Aventuras Lingüísticas","Aprende cómo se dice 'agua' en diferentes idiomas y crea trabalenguas divertidos.","Palabra 'agua' en diferentes idiomas.","agua-A07"
"petalos-y-polinizadores.md","Pétalos y polinizadores","Investigación sobre los polinizadores que ayudan a crecer tu flor favorita y seguimiento de sus visitas.","Investigar polinizadores de tu flor favorita.","polinizadores-B03"
"autobiografia-bioenergetica.md","Autobiografía de un cultivo bioenergético","Investiga un cultivo bioenergético y escribe su 'autobiografía', hablando de cuánta energía consume y produce.","Escribe la vida de un cultivo energético.","energia-B06"
"aves-acuaticas.md","Aves acuáticas","Observación de aves acuáticas en su hábitat natural para aprender sobre sus técnicas de caza y adaptaciones.","Observar aves acuáticas y sus adaptaciones.","biodiversidad-B21"
"mas-alla-de-los-documentales.md","","","",""
"agua-no-siempre-disponible.md","El Agua No Siempre Está Disponible","Los participantes experimentan los desafíos de obtener agua limpia y transportarla a través de un juego de relevos que simula la recolección de agua en comunidades sin acceso fácil.","Juego de relevos sobre la recolección de agua.","agua-D32"
"agua-agricultura-alimentos.md","Agua, Agricultura y Alimentos","Los participantes visitan una granja para comprender la relación entre el uso del agua, la agricultura y la producción de alimentos, reflexionando sobre los desafíos y la sostenibilidad.","Visita a una granja para aprender sobre agua y alimentos.","agua-B36"
"collage-de-las-tres-r.md","Collage de las tres R","Haz un collage sobre Reduce - Reusa - Recicla.","Collage sobre las tres R.","sacc-A29"
"probando-probando.md","Probando, Probando","Prepara un examen de 10 preguntas sobre preparación frente a desastres.","Examen sobre preparación para desastres.","rrd-D04"
